kab/kota,kecamatan,kelurahan,tempat_ibadah,alamat,nama_pengurus,status_tanah,tahun_pendirian,daya_tampung,luas_bangunan,luas_tanah,kegiatan_lain
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Huda,Jl. Kebon Besar Rt. 004/05,H. Supriyadi,Sertifikat Milik,1989,200,420,390,"TPA, RM"
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Istiqomah,Jl. Wahyu Kebon Besar Rt. 004/05,HM. Yusuf,Sertifikat,1963,550,700,1000, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Muchlisin,Jl. Komplek deplu Rt. 003/03,Drs. Abu Su'ud,Negara,1970,250,300,500, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Munir,Jl. Madrasah Rt. 006/03,Kasman,Negara,1980,500,500,1000, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Babul Malik,Jl. H. Nawi Dalam I Rt. 003/02,HM. Kusno,Hak Milik,1985,100,150,200, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Jami Darul Falah,Jl. Bahari II Rt. 008/07,H. Mas'ud,Sertifikat,1992,500,400,500, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Miftahul Jannah,Jl. Mangga Dalam Rt. 010/01,Sabarudin,Hak Milik,1930,300,400,500, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Jami Nurul Huda,Jl. H. Nawi Raya Rt. 010/02,KH. Hasan Basri,Hak Milik,1996,500,700,1000, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Awabin,Jl. Madrasah Rt. 004/01,H. Mujahidin,Hak Milik,1979, ,400,800, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Barkah,Jl. Kramat Batu Rt. 010/04,M. Ali,Hak Milik,1976, ,80,120, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Huda,Jl. Poncol Rt. 003/08,Hanafi,Hak Milik,1989, ,75,100, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Khairiyah,Jl. Mangga Rt. 012/04,H. Jana,Hak Milik,1979, ,80,140, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Manar,Jl. Madrasah I Rt. 010/01,H. Mukri,Hak Milik,1975, ,90,90, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Muawanah,Jl. Poncol Rt. 013/06,H. Abd. Karim,Hak Milik,1973, ,100,192, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Mujahidin,Jl. Bahari Rt. 010/07,Suwarto,Hak Milik,1978, ,100,217, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Muttaqin,Jl. Poncol Rt. 002/07,H. Amat,Hak Milik,1989, ,60,75, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Al Qura,Jl. Poncol Rt. 006/07,H. Syatiri,Hak Milik,1974, ,40,50, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid An Nur,Jl. H. Nawi I Rt. 003/02,HM. Husni,Hak Milik,1995, ,100,100, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Ar Rahman,Jl. Puskesmas I Rt. 010/01,H. Akil,Hak Milik,2000, ,300,300, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Ar Rohmania,Jl. Madrasah Rt. 007/01,KH. Mukri A,Hak Milik,1994, ,100,200, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid At Taqwa,Jl. Marga Guna Rt. 002/01,H. Muslih,Hak Milik,1988, ,150,200, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid At Taufiq,Jl. Madrasah I Rt. 006/02,H. Abd. Hamid,Hak Milik,1983, ,144,144, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid D. Best Swalayan,Jl. RS. Fatmawati Rt. 002/05,Wiyono,Nagara,2001, ,12,12, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid KNT Kelurahan,Jl. Mangga Rt. 011/04,Lurah Gandaria Selatan,Nagara,1997, ,20,20, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Nurul Amin,Jl. Poncol Rt. 006/04,H. Ahmad,Hak Milik,1989, ,75,100, 
Jakarta Selatan,Cilandak,Gandaria Selatan,Masjid Wisma Sejahtera                                                                                                            ,Jl. RS. Fatmawati,Drs. Achyarull,Hak Milik,1975, ,20, , 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Akhyar,Jl. Masjid II Terusan jalan I Rt. 008/011,H. Hidayat, ,1971, ,500,700, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Falah,Jl. Cilandak tengah III Rt. 001/01,H. Djawahir,Sertifikat,1948, ,1000,1880, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Hidayah,Jl. Komplek Keuangan I,H. Zaini, ,1984, ,200,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Hikmah,Jl. Banjar Sari Rt. 001/05,H. Thohiri, ,1984, ,150,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Istiqomah,Jl. Banjarsari VII Rt.008/08,Drs. Nurcholis, ,1968, ,500,1500, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Al Muttaqin,Jl. Terogong Raya Rt. 011/010,H. Musyid, ,1986, ,600,736, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid An Nur,Jl. Komp. RS. Fatmawati Rt. 008/09,H. Mansur,Negara,1970, ,200,800, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Jami Ar-Rahman,Jl. KH. Muhasyim VII Rt. 014/06,KH. Hamim Fauzi,Hak Milik,1925, ,500,777, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Ar Rohman,Jl. Lebak Bulus II Rt. 014/04,H. Jamin,Hak Milik,1985, ,300,600, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid As Suban,Jl. SMEA R2 Rt. 010/05,Drs. Muhamad,Negara,1970, ,200,440, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid At Taqwa,Komp. DDN Rt. 001/01,Sobri Tanjung, ,1970, ,200,600, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid At Taqwa,Jl. Tri Darma Rt. 003/12,Muchtar Jamhari,Hak Milik,1980, ,200,250, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid At Taqwa,Jl. KH. Muhasyim I,Djunaedi,Negara,2003, ,100,160, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid At Tarbiyah,Jl. Taman Pendidikan Rt. 009/05,H. Salam, ,1966, ,350,400, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid At Thoyibah,Jl. Taman Pendidikan Rt. 009/05,HM. Syamsudin, ,1981, ,300,500, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Baitun Nur,Jl. H. Djaja Rt. 002/04,H. Ali,Hak Milik,1968, ,700,1000, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Baitussalam,Jl. BNI 46,Sosro Suwadi,Negara,1985, ,450,1250, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Nurul Hikmah,Jl. Cilandak IV Rt. 003/03,Drs. Djuju,Hak Milik,1968, ,200,211, 
Jakarta Selatan,Cilandak,Cilandak Barat,Masjid Jami Al-Anwar,Jl. H. Anwar Rt. 006/02,,,,,,,
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Akbar,Jl. H. Batong Rt. 007/06,Satiri,Hak Milik,1960, ,50,50, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Amin,Jl. P. Antasari Rt. 007/11,Wahyudin,Hak Milik,1960, ,80,100, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Amin,Jl. Cilandak Permai Rt. 001/02,H. Ainin,Hak Milik,1977, ,60,95, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Awwabin,Jl. Cilandak V Rt. 006/011,H. Dani,Hak Milik,1965, ,200,286, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Barkah,Jl. Al Barkah Rt. 009/01,H. Hasan,Hak Milik,1978, ,150,220, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Falah,Jl. Terogong Raya Rt. 011/010,Drs. Mursid,Hak Milik,1915, ,200,450, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Fatah,Jl. Tangong Rt. 006/06,Rohadi,Hak Milik,1978, ,200,7580, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Hasanah,Jl. H. Batong Rt. 004/04,Rohadi,Hak Milik,1970, ,100,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Hayat,Jl. Wijaya Kusuma Rt. 013/02,H. Abdullah SH.,Hak Milik,1970, ,100,186, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Hikmah,Jl. Lebak Bulus IV Rt. 008/04,H. Salam,Hak Milik,1976, ,80,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Ikhlas,Jl. P. Antasari Rt. 007/01,Bunyamin,Hak Milik,1970, ,40,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Ikhlas,Jl. P. Antasari Rt. 017/01,Bunyamin,Hak Milik,1975, ,150,400, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Ikhlas,Jl. BDN I Rt. 011/01,H. Ishak,Hak Milik,1965, ,100,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Ikhlas,Jl. H. Batong Rt. 003/06,H. Zaelani,Hak Milik,1978, ,40,40, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Ikhsan,Jl. H. Naim Rt. 004/01,H. Hasan,Hak Milik,1978, ,150,445, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Islamiyah,Jl. Tengong Raya Rt. 005/05,Fatullah,Hak Milik,1975, ,100,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Jamiah,Jl. Lebak Bulus I Rt. 006/04,H. Dullah,Hak Milik,1960, ,100,500, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Jannah,Jl. P. Antasari Rt. 006/11,H. Djawahir,Hak Milik,1960, ,100,1970, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Jihad ( KUA ),Jl. KH. Muhasyim VII/90,Kepala KUA,Negara,1992, ,15,15, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Kautsar,Jl. Terogong Raya Rt. 009/10,Lurah Cilandak Barat,Hak Milik,1975, ,100,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Khairat,Jl. Cilandak Dalam Rt. 005/01,H. Moh. Zen,Hak Milik,1960, ,200,357, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Khairiyah,Jl. Cilandak Permai Rt. 003/02,H. Namun,Hak Milik,1970, ,150,122, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Magfiroh,Jl. Cilandak Dalam Rt. 003/01,Iskandar,Hak Milik,1970, ,100,160, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Mukhlisin,Jl. Cilandak Dalam Rt. 023/01,H. Mursalih,Hak Milik,1960, ,100,168, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Munawarah,Jl. MPR I Rt. 003/01,H. Zaini,Hak Milik,1960, ,200,500, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Muawanah,Jl. Lebak Bulus Rt. 006/04,H. Jamin,Hak Milik,1978, ,100,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Al Mursyidin,Jl. KH. Muhasyim  Rt. 012/06,H. Mursidi,Hak Milik,1967, ,70,70, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla An Ni'man,Jl. BDN ujung Rt. 015/01,U. Syamsudin,Hak Milik,1980, , ,120, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla An Nur,Jl. H. Batong Rt. 007/02,H. Abd. Hamid,Hak Milik,1970, ,80,100, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Arifiyah,Jl. H. Batong Rt. 003/06,Hidup,Hak Milik,1970, ,100,100, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Ash solihin,Jl. Cilandak Barat Rt. 003/01,H. Saleh,Hak Milik,1960, ,100,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla At Taqwa,Jl. Intan Rt. 002/02,H. Entong,Hak Milik,1967, ,80,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla At Taqwa,Jl. Tengong III no. 2 Rt. 011/10,Jumiran,Hak Pakai,1998,50,36, ,RM
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla At Taubah,Jl. Al Barkah Rt. 008/01,Mulyadi,Hak Milik,1972, ,100,175, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Atthalibin,Jl. Cilandak Dalam Rt. 001/01,KH. Idris. K,Hak Milik,1995, ,150,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Babut Taubah,Jl. H. Mandor Rt. 003/02,Sutang,Hak Milik,1972, ,100,120, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Baitul Amin,Jl. Cilandak Dalam Rt. 009/01,H. Niin,Negara,1975, ,100,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Baiturrahman,Jl. Lebak Bulus II Rt. 007/04,Abd. Rozak,Hak Milik,1960, ,200,800, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Fauziah,Jl. KH. Muhasyim V,KH. Hamim F,Negara,1995, ,100,100, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla H. Saamin,Jl. H. Batong Rt. 007/06,H. Saamin,Hak Milik,1970, ,4,54, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Komp. T. Timah,Jl. RS. Fatmawati,H. Salihin AG,Negara,1963, ,100,100, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Nuruddin,Jl. Cilandak Barat Rt. 014/04,Duliah,Hak Milik,1970, ,150,150, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Nurul Falah,Jl. H. Batong Rt. 006/06,H. Nadih,Hak Milik,1972, ,80,100, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Nurul Falah,Jl.H.Mandor Rt.005/002,H. Djawahir,Hak Milik,1995, ,140,200, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Nurul Huda,Jl. BDN Raya,Ust. Nur Ali,Hak Milik,1960, ,150,248, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Nurul Huda,Jl. Taman Cilandak Rt. 001/10,H. Zaini Manan,Hak Milik,1960, ,100,144, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Nurul Jannah,Jl. RS. Fatmawati Rt. 008/04,H. Abdullah HM.,Hak Milik,1963, ,100,100, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Pasar Mede,Jl. RS. Fatmawati,H. soleh,Negara,1975, ,16,16, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla RS. Fatmawati,Jl. RS. Fatmawati,H. Abdullah,Negara,1960, ,80,80, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Salak Putih,Jl. KH. Muhasyim VII Rt. 006/06,H. Hamim Ahmad,Hak Milik,1920, ,200,, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla SMPN 68,Jl. Caringin Cilandak Barat,H. Muhammad,Negara,1982, ,45,54, 
Jakarta Selatan,Cilandak,Cilandak Barat,Musholla Kec.Cilandak,Jl.KH.Muhasyim Raya,Camat Cilandak,,,,,,
Jakarta Selatan,Cilandak,Cilandak Barat,Paroki Santo Stepanus,Jl. K.H. Muhasyim IV/2 Kec. Cilandak,Romo Daniju,,1997,,300,,
Jakarta Selatan,Cilandak,Cilandak Barat,GBIJ Bukit Sion,Jl. Tridarma Utama IV. No. 1 Cilandak,Paulus Kokong,,,,,,
Jakarta Selatan,Cilandak,Cilandak Barat,GP. Pantekosta,Jl. RS. Fatmawati Cilandak Barat,Themmy L. Bahitoa,,,,,,
Jakarta Selatan,Cilandak,Cilandak Barat,Gk.KK. Nasoret,Jl. Tridarmo IX No. 18 Cilandak,Pdt. Michael Tena AM,,,,,,
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Al Bayah,Jl. Tri Darma Rt. 005/08,Drs. Sutrisno Hadi,Hak Milik,1986,300,250,300,"TPA, RM"
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Al Hijrah,Komp. Hankam Rt. 006/06,H. Abdullah,Hak Milik,1998, ,300,500,"TPA, MT, RM"
Jakarta Selatan,Cilandak,Pondok Labu,Masjid AL Izhar,Jl. RS. Fatmawati,H. Emil Salim,Hak Milik,1992,1890,700,1000,"RM, LainLain"
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Al Murod,Jl. Bango Rt. 001/01,"Rusli, Nawiri",Hak Milik,1993,500,500,600, 
Jakarta Selatan,Cilandak,Pondok Labu,Masjid An-Ni'mah,Jl. RS. Fatmawati Rt. 003/07,Drs.HM. Thoyib Mansur,Hak Pakai,1985,1500,900,2650,"TPA, MT, RM"
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Baiturrahman,Komp. DDN Rt. 004/04,H. Mursyid,Hak Milik,1994, ,400,600, 
Jakarta Selatan,Cilandak,Pondok Labu,Masjid At Taqwa,Jl. H Ipin Rt. 006/01,H. Yakub,Hak Milik,1989, ,300,4000, 
Jakarta Selatan,Cilandak,Pondok Labu,Masjid At Taqwa,Jl. Komp. Depkes Rt. 006/04,Dadang S.,Hak Milik,1994, ,150,300, 
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Darussalam,Jl. Pinang Raya No. 28 Rt. 008/02,"H. Zaelani T, Namin HE.",Wakaf,1989,500,650,815, 
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Jami Al Hikmah,Jl. Komp. DDN II Rt. 002/05,"M. Rubiul, Yatim Sess",Nagara,1986,400,350,500,"TPA, MT, RM"
Jakarta Selatan,Cilandak,Pondok Labu,Masjid At Taubah,Jl. Masjid Rt. 004/03,"Ust. Zulkifli, Tian",Wakaf,1981,500,700,900,"TPA, RM"
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Darussa'adah,Jl. MargaSatwa Rt. 005/02,Sodik,Hak Milik,1995, ,175,250,RM 
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Jami Imam Bonjol,Jl. Komp. AL Rt. 002/06,Sodarsono,Hak Milik,1985, ,500,1700, 
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Quba Nurul Amal,Jl. Melati Rt. 009/02,Nur Syamsul Hidal,Hak Milik,1986, ,150,300,"TPA, Mad, RM"
Jakarta Selatan,Cilandak,Pondok Labu,Masjid Al Jabr,Jl. Bango Raya,,,,,,,
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Akhyar,Jl. H. Ipin,H. Ali,Hak Milik,1989, ,100,100, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Amin,Jl. Bango III Rt. 008/03,H. Abd. Muin,Hak Milik,1989, ,100,174, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Awabin,Jl. RS. Fatmawati Rt.007/01,H. Maksum,Hak Milik,1960, ,92,92, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Awabin,Jl. Fatmawati,H. Saleh,Wakaf,1995, ,90,100, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Burhan,Jl. H. Ipin ,H. Saman,Hak Milik,1980, ,100,100, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Furqon,Jl. H. Ipin Rt. 011/01,H. Ahmad,Hak Milik,191, ,100,100, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Ikhlas,Jl. Bango III Rt. 007/03,H. Abd. Muin,Hak Milik,1988, ,94,94, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Al Mutaqin,Jl. Raya Pondok Labu Rt. 007/01,H. zainudin,Negara,1980, ,80,100, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Ar Rahmah,Jl. Pangkalan Jati  Rt. 005/01 ,H. Ikhsan,Wakaf,1967,50,80,88,RM
Jakarta Selatan,Cilandak,Pondok Labu,Musholla At Taqwa ( K. Kes ),Jl. Swadaya Bawah,Lurah Pondok Labu,Negara,1960, ,20,20, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Baiturrohman,Jl. Pinang Rt. 007.02,HM. Tian,Hak Milik,1989, ,100,183, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Baitur rahmah,Komp. DDN II Rt. 005/01,H. Ihsan,Hak Milik,1978, ,80,82, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Baiyah,Jl. Pinang Rt. 005/08,H. Ali,Hak Milik,1989, ,100,120, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Darul falah,Jl. Pinang Rt. 003/02,HM. Tian,Hak Milik,1981, ,100,136, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Darul Muttaqin,Jl. Pinang Rt. 012/02,HM. Tian,Hak Milik,1978, ,100,120, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Darul taubah,Jl. Pinang Rt. 011/02,HM. Tian,Hak Milik,1982, ,98,98, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Darussalam,Jl. Bango III Rt. 001/03,H. Abd. Muin,Hak Milik,1989, ,110,121, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Hankam,Jl. Jati,H. Tulus,Hak Milik,1981, ,50,50, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Miftahudaraain,Jl. Pondok Labu I Rt. 010/07,H. Lihun,Hak Milik,1983, ,100,164, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Miftahul Umam,Jl. H. Kamang,KH. Abd. Hakim,Hak Milik,1992, ,60,60, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Nurul Hikmah,Jl. Tri Darma Rt. 009/04,H. Zainuddin,Hak Milik,1984, ,50,250, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Nurul Iman,Jl. Rt. Kamang Rt. 007/07,Muqorib,Hak Milik,1978, ,100,133, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Nurul Islam,Jl. Pinang Rt. 001/02,HM. Tian,Hak Milik,1970, ,95,95, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Nurul Islam,Jl. Pringgodari Rt. 003/03,H. Abd. Muin,Hak Milik,1989, ,100,162, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Nurul Islam,Jl. H. Komang,H. Arsyad,Hak Milik,1981, ,82,100, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Pasar Pd. Labu,Jl. RS. Fatmawati,Kep. Pd. Pondok Labu,Negara,1979, ,12,12, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla RS. Fatmawati,Jl. Komp. RS. Fatmawati,H. Mansur,Negara,1980, ,50,50, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla SDN 001,Jl. RS Fatmawati,H. Yakub,Negara,1995, ,90,90, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla SDN T. Timah,Jl. Marga Satwa,Drs. HA. Samubi,Negara,1992, ,100,100, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla SMAN 34,Jl. Marga Satwa,Kepsek,Hak Milik,1983, ,20,20, 
Jakarta Selatan,Cilandak,Pondok Labu,Musholla Miftahul Daro'in,Jl. Pondok Labu I Rt. 001/07,H. Medi,,,,,,
Jakarta Selatan,Cilandak,Pondok Labu,GP. HKBP,Jl. Tridarma Raya Rt. 001/06,Pdt. Simanjuntak,,,,,,
Jakarta Selatan,Cilandak,Pondok Labu,GP. Bethel di Indonesia,Jl. Tridarma  XII No. 37 ,Pdt. Andreas S,,,,,,
Jakarta Selatan,Cilandak,Pondok Labu,GP. Pantekosta Indonesia,Jl. Tridarma Raya IX No. 32,Pdt. Ellver Raja Gukguk,,,,,,
Jakarta Selatan,Cilandak,Pondok Labu,GK. Santos Matias,Jl. Baros No. 3 Rt. 004/06,Pastur Agustinius S,,,,,,
Jakarta Selatan,Cilandak,Pondok Labu,GK.  Bahtera Allah,Jl. Baros I Rt. 002/06,Drs. Sumarjo,Hak Pakai,1975,250,180,2300, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al Akhyar,Jl. Melati Rt. 011/02,H. Rahmat,Hak Milik,1929, ,600,600, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al Barkah,Jl. H. Ali Rt. 014/06,H. Toyib,Hak Milik,1976, ,900,2000, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al-I'tishom,Jl. Pangeran Antasari Rt. 005/01,H. Murtalih,Hak Milik,1990, ,1000,8000, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al Husnah,Jl. RS. Fatmawati Rt. 001/05,H. Ismail,Hak Milik,1984, ,300,300, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al Ikhlas,Jl. H. Alen Rt. 006/07,KH. Sahan Halid,Sertifikat,1946, ,300,2000, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al Ikhlas,Jl. Gaham Rt. 006/04,Ir. H. Ibnu K.,Negara,1969, ,500,500, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al Ikhlas,Jl. Pangeran Antasari Rt.013/02,H. Zahidih,Negara,1981, ,500,600, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al Karomah,Jl. H. Junaidi,Ar. Dani,Sertifikat,1970, ,810,1400, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Bitul Amin,Jl. BRS Rt. 006/06,H. Ashari,Negara,1983, ,300,300, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Darul Taqwa,Jl. Komp. Darul Maarif,M. Salhan Cholid,Sertifikat,1960, ,200,900, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Nurul Huda,Jl. Komp. Deplu,H. Sahis,Negara,1976, ,900,1000, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al-Hasanah,Gg. Masjid Rt. 001/05,,,,,,,
Jakarta Selatan,Cilandak,Cipete Selatan ,Masjid Al-Ihsan dan Pendidikan,Jl. H. Abu Rt. 004/02,,,,,,,
Jakarta Selatan,Cilandak,Cipete Selatan ,Musholla Al Akhyar,Jl. P. Antasari Rt. 005/01,HM. Yusuf,Hak Milik,1978, ,200,250, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Musholla Al Barkah,Jl. Cipete Selatan Rt. 012/01,H. Yusuf,Negara,1981, ,75,100, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Musholla Al Barkah,Jl. Cipete Raya ,H. Aku Bakar,Hak Milik,1993, ,90,90, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Musholla Al Falah,Jl. Puri Dalam Rt. 004/01,H. Ario,Hak Milik,1970, ,100,150, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Musholla Al Ibadah,Jl. Asem Raya Rt. 014/05,H. Murshid,Hak Milik,1970, ,100,100, 
Jakarta Selatan,Cilandak,Cipete Selatan ,Musholla Al Irsyad,Jl. Puri Sakti Rt. 002/01,H. Mursyid K,Hak Milik,1960, ,150,204, 
